"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 19 14:35:34 EET 2021","Sun Dec 19 14:35:52 EET 2021","18187","","Registration testing","","Registration testing","Positive: should register with valid credentials","Positive: should register with valid credentials","Positive: Registration test description"
"broken","Sun Dec 19 14:35:33 EET 2021","Sun Dec 19 14:36:16 EET 2021","43429","","Purchase flow test","","Purchase flow test","Should correct buy item from basket","Should correct buy item from basket","Complete basket purchase flow test"
"passed","Sun Dec 19 14:36:08 EET 2021","Sun Dec 19 14:36:13 EET 2021","4937","","Edit profile info test","","Edit profile info test","Positive: Should change profile photo","Positive: Should change profile photo",""
"failed","Sun Dec 19 14:35:33 EET 2021","Sun Dec 19 14:36:02 EET 2021","28898","","Add/remove items to the basket","","Add/remove items to the basket","Add item to basket","Add item to basket","Add/remove items to the basket"
"passed","Sun Dec 19 14:36:07 EET 2021","Sun Dec 19 14:36:11 EET 2021","3558","","API Leaving customer feedback tests","","API Leaving customer feedback tests","Should leave feedback with rate 3","Should leave feedback with rate 3",""
"broken","Sun Dec 19 14:36:02 EET 2021","Sun Dec 19 14:36:13 EET 2021","10585","","Add/remove items to the basket","","Add/remove items to the basket","Remove item from basket","Remove item from basket",""
"passed","Sun Dec 19 14:36:03 EET 2021","Sun Dec 19 14:36:08 EET 2021","4702","","API Login testing","","API Login testing","API POST: user registration","API POST: user registration",""
"passed","Sun Dec 19 14:36:08 EET 2021","Sun Dec 19 14:36:09 EET 2021","1079","","API Login testing","","API Login testing","API POST: user login","API POST: user login",""
"passed","Sun Dec 19 14:35:33 EET 2021","Sun Dec 19 14:36:08 EET 2021","34887","","Edit profile info test","","Edit profile info test","Positive: Set new username","Positive: Set new username","Edit user profile info"
"passed","Sun Dec 19 14:35:54 EET 2021","Sun Dec 19 14:36:34 EET 2021","39492","","Buying last items and checking if items are marked as sold-out test","","Buying last items and checking if items are marked as sold-out test","Should buy last items & marked as sold-out","Should buy last items & marked as sold-out",""
"passed","Sun Dec 19 14:35:35 EET 2021","Sun Dec 19 14:36:08 EET 2021","32905","","API Basket tests","","API Basket tests","API POST: add card to basket","API POST: add card to basket",""
"passed","Sun Dec 19 14:35:37 EET 2021","Sun Dec 19 14:36:07 EET 2021","29961","","API Leaving customer feedback tests","","API Leaving customer feedback tests","GET: checking feedbacks","GET: checking feedbacks",""
"passed","Sun Dec 19 14:35:37 EET 2021","Sun Dec 19 14:35:56 EET 2021","18788","","Open social Faсebook testing","","Open social Faсebook testing","Positive: should switch to Facebook page","Positive: should switch to Facebook page","Positive: Open facebook page test description"
"passed","Sun Dec 19 14:35:34 EET 2021","Sun Dec 19 14:35:43 EET 2021","8906","","Login testing","","Login testing","Negative: should display error login message","Negative: should display error login message","Negative: login test description"
"passed","Sun Dec 19 14:36:03 EET 2021","Sun Dec 19 14:36:16 EET 2021","12637","","Login testing","","Login testing","Positive: should login with valid credentials","Positive: should login with valid credentials","Positive: login test description"
